namespace,pod_name,cpu_cores,memory_mb
darrins,darrins-bear-app-54b7dc5856-4hmsx,32m,2130
darrins,darrins-bear-app-54b7dc5856-5mpw4,118m,2136
darrins,darrins-bear-app-54b7dc5856-crb64,5m,2066
darrins,darrins-bear-app-54b7dc5856-k6c88,2m,1849
darrins,darrins-bear-app-54b7dc5856-m55tl,4m,2063
darrins,delayed-darrins-bear-app-0-7949b474cd-bjfcj,3m,1117
darrins,delayed-darrins-bear-app-1-647f87498c-f98hn,1m,605
darrins,delayed-darrins-bear-app-2-5d4fdcb98d-bhlwn,1m,449
daybreak,daybreak-bear-app-5b7b99d759-pb4bc,1m,1394
daybreak,daybreak-bear-app-5b7b99d759-zfspr,1m,1420
daybreak,delayed-daybreak-bear-app-0-6bc79599b-l8z65,1m,302
daybreak,delayed-daybreak-bear-app-1-5bd59f4877-r624n,1m,265
demo5,delayed-demo5-bear-app-5c49c8c9d9-rwmw8,4m,397
demo5,demo5-bear-app-79749d6d78-24mps,48m,790
demo5,demo5-bear-app-79749d6d78-gmm79,10m,988
demo6,delayed-demo6-bear-app-0-6655f48dff-8xzh6,1m,329
demo6,demo6-bear-app-6f4cf887b4-pfmgc,1m,1559
demotat,delayed-demotat-bear-app-0-d94fd6f7d-5dgpc,1m,280
demotat,demotat-bear-app-68564698d-hztzr,1m,877
demotat,demotat-bear-app-68564698d-v4szs,1m,1075
desertpoppy,delayed-desertpoppy-bear-app-0-658f474496-4cdrk,1m,423
desertpoppy,desertpoppy-bear-app-65c4c8d9cf-bhh2r,1m,1538
desertpoppy,desertpoppy-bear-app-65c4c8d9cf-kbrkg,1m,1490
desertview,delayed-desertview-bear-app-0-8649444fbf-wrtlt,1m,338
desertview,desertview-bear-app-76dd896996-qkhfg,4m,2258
discipleship,delayed-discipleship-bear-app-0-5cf8d6896-dv4vh,1m,282
discipleship,discipleship-bear-app-8f8cd5ff5-7grx8,3m,1193
discipleship,discipleship-bear-app-8f8cd5ff5-tg2qq,1m,1240
drgmedicine,delayed-drgmedicine-bear-app-0-644dd8799d-jgkz7,1m,343
drgmedicine,delayed-drgmedicine-bear-app-1-844664f5b9-rh784,1m,262
drgmedicine,drgmedicine-bear-app-6d58447c5c-49gkf,1m,1042
drgmedicine,drgmedicine-bear-app-6d58447c5c-jhgv5,1m,891
ebony,delayed-ebony-bear-app-0-6d4784b99-59rqc,1m,290
ebony,delayed-ebony-bear-app-1-b79944-f4ngq,1m,266
ebony,ebony-bear-app-9dc64bf48-27d28,1m,1622
ebony,ebony-bear-app-9dc64bf48-8pp2r,1m,1574
empowerment,delayed-empowerment-bear-app-0-6558ff69df-x5sxz,1m,297
empowerment,delayed-empowerment-bear-app-1-f7b6bd757-snp92,1m,257
empowerment,delayed-empowerment-bear-app-2-78f458465b-9srjv,1m,252
empowerment,empowerment-bear-app-64f65dcf79-nxh2v,1m,613
empowerment,empowerment-bear-app-64f65dcf79-wh929,1m,684
esperanza,delayed-esperanza-bear-app-0-589df9789c-t96xw,1m,304
esperanza,delayed-esperanza-bear-app-1-6b948f6cf9-9zzvb,1m,259
esperanza,delayed-esperanza-bear-app-2-54cbfbc68d-6r5p6,1m,254
esperanza,esperanza-bear-app-664566c759-k8bw9,1m,609
esperanza,esperanza-bear-app-664566c759-qqxvm,1m,657
esperanzawellness,delayed-esperanzawellness-bear-app-0-c544b56c5-p98vg,1m,394
esperanzawellness,esperanzawellness-bear-app-9c4785479-d6l85,6m,2130
esperanzawellness,esperanzawellness-bear-app-9c4785479-dzvls,11m,2297
fathersnm,delayed-fathersnm-bear-app-0-57bdcd9859-x5g94,1m,323
fathersnm,fathersnm-bear-app-6c8787947b-6r9jb,1m,1777
fathersnm,fathersnm-bear-app-6c8787947b-lrk9f,1m,1915
ferruzzi,delayed-ferruzzi-bear-app-7c7ff87b58-5gqbw,1m,345
ferruzzi,ferruzzi-bear-app-6599d78c56-c2bzn,1m,589
ferruzzi,ferruzzi-bear-app-6599d78c56-pw2th,1m,628
focusedfamily,delayed-focusedfamily-bear-app-0-65c564dfc8-n9xhc,1m,277
focusedfamily,delayed-focusedfamily-bear-app-1-5988cbf95f-q48x8,1m,262
focusedfamily,delayed-focusedfamily-bear-app-2-677b9f8cb4-69scx,1m,251
focusedfamily,focusedfamily-bear-app-746cb9bbf4-q6vl8,1m,602
focusedfamily,focusedfamily-bear-app-746cb9bbf4-qp888,1m,663
fourdirections,delayed-fourdirections-bear-app-0-6465b5b649-pj97q,1m,364
fourdirections,delayed-fourdirections-bear-app-1-669fc657f6-f6s7h,1m,290
fourdirections,fourdirections-bear-app-5cc494887d-fsc7c,3m,2043
fourdirections,fourdirections-bear-app-5cc494887d-s2vgf,2m,2163
fourwinds,delayed-fourwinds-bear-app-0-7b684bfbbd-krtjw,1m,434
fourwinds,delayed-fourwinds-bear-app-1-fc68495d9-fwr4m,1m,480
fourwinds,fourwinds-bear-app-86bbfbd44d-g4b6k,125m,2480
fourwinds,fourwinds-bear-app-86bbfbd44d-zfq8d,89m,2549
frc,delayed-frc-bear-app-0-64f848c964-z2cvn,1m,330
frc,delayed-frc-bear-app-1-9fb485575-qcrmq,1m,263
frc,frc-bear-app-7798ff58dc-nhfkb,1m,1576
frc,frc-bear-app-7798ff58dc-wfgkc,1m,1585
fyi,delayed-fyi-bear-app-0-7bbfd55765-bl7ts,1m,331
fyi,delayed-fyi-bear-app-1-7ddbfd868d-9ffdt,1m,350
fyi,fyi-bear-app-84bc7f5d89-8t6g7,1m,2330
fyi,fyi-bear-app-84bc7f5d89-tzwrd,1m,2247
golden,delayed-golden-bear-app-5fbbcb9ff4-npxx2,1m,359
golden,golden-bear-app-7897cdfd69-h2dfv,1m,635
golden,golden-bear-app-7897cdfd69-mr46n,1m,618
goldstandard,delayed-goldstandard-bear-app-0-84f9d8fddb-cg98t,1m,391
goldstandard,goldstandard-bear-app-85ff985b5f-hrfw5,1m,2016
goldstandard,goldstandard-bear-app-85ff985b5f-n2szq,1m,1836
grossman,delayed-grossman-bear-app-0-7c4f575c4c-fhkb7,5m,511
grossman,delayed-grossman-bear-app-1-56c5d4965b-wfh7m,1m,914
grossman,delayed-grossman-bear-app-2-864b64958d-74vsk,1m,468
grossman,grossman-bear-app-7669f5f78b-9k7ph,93m,2151
grossman,grossman-bear-app-7669f5f78b-bczdp,51m,2266
grossman,grossman-bear-app-7669f5f78b-g5hpv,91m,2183
grossman,grossman-bear-app-7669f5f78b-rd7pg,63m,2103
grossman,grossman-bear-app-7669f5f78b-tpbnp,42m,2138
h2academy,delayed-h2academy-bear-app-0-77f754b8d5-q7wfk,2m,406
h2academy,h2academy-bear-app-78f8949b8d-2kgc6,4m,2352
h2academy,h2academy-bear-app-78f8949b8d-qk256,2m,2291
healingroots,delayed-healingroots-bear-app-0-fb7c64bb6-r7qvv,1m,419
healingroots,healingroots-bear-app-5cfd69d959-8lqb5,1m,2750
healingroots,healingroots-bear-app-5cfd69d959-crxqk,1m,2602
hogares,hogares-bear-app-7c7cdb677-9lbng,1m,608
hoy,delayed-hoy-bear-app-7cff9f9ddd-wgzlg,1m,556
hoy,hoy-bear-app-6794ff6c87-8r598,2m,3731
hoy,hoy-bear-app-6794ff6c87-9bsdb,4m,3747
indigo,delayed-indigo-bear-app-0-76dd6dbd85-hnk2l,1m,345
indigo,delayed-indigo-bear-app-1-8d69cd9ff-znrl5,1m,262
indigo,indigo-bear-app-7fc7474748-gqhgk,1m,908
indigo,indigo-bear-app-7fc7474748-lkgds,1m,1059
indigo,indigo-bear-app-7fc7474748-pl68p,1m,912
infinite,delayed-infinite-bear-app-0-8547dd688c-glghg,1m,351
infinite,infinite-bear-app-5c9df47656-86hfq,1m,1491
infinite,infinite-bear-app-5c9df47656-k7kdm,1m,1463
integrity,delayed-integrity-bear-app-0-556884bfd4-lx6rm,1m,302
integrity,delayed-integrity-bear-app-1-8db5f46f-hf7cm,1m,256
integrity,integrity-bear-app-9ffc84979-l5j4r,1m,1134
integrity,integrity-bear-app-9ffc84979-v6xzv,1m,1137
intellistars,delayed-intellistars-bear-app-0-bc585cc59-tkwc2,1m,280
intellistars,intellistars-bear-app-5fc9f9b8d7-jb4jx,1m,1146
kate,delayed-kate-bear-app-0-7689cc9d48-9c76d,1m,284
kate,kate-bear-app-56f484ccd5-xqrnv,1m,1030
kfwc,delayed-kfwc-bear-app-0-55f96c7445-rzxkd,1m,419
kfwc,kfwc-bear-app-599fd9b685-k2lrb,2m,1561
kfwc,kfwc-bear-app-599fd9b685-lpsl7,1m,1464
kidscounseling,delayed-kidscounseling-bear-app-0-bbfb76b44-fkqgv,1m,406
kidscounseling,delayed-kidscounseling-bear-app-1-69846f4774-bd9rf,1m,569
kidscounseling,kidscounseling-bear-app-865577677f-g6f42,50m,2052
kidscounseling,kidscounseling-bear-app-865577677f-w97vz,10m,1798
kindcare,delayed-kindcare-bear-app-0-7884fcc546-9zclm,1m,281
kindcare,kindcare-bear-app-86b6c6477f-xxzt2,1m,1128
klcounseling,delayed-klcounseling-bear-app-0-5c754f56f-kcprh,1m,281
klcounseling,klcounseling-bear-app-5975b8484d-tvksg,1m,1124
klcounseling,klcounseling-bear-app-5975b8484d-x4bss,1m,1190
lacasa,delayed-lacasa-bear-app-0-5449b4f776-n4h5p,1m,380
lacasa,lacasa-bear-app-5c87694b7b-9gddg,1m,2438
lacasa,lacasa-bear-app-5c87694b7b-qwssn,1m,2217
lafamilia,lafamilia-bear-app-688486647b-nzjxb,1m,603
lascumbres,delayed-lascumbres-bear-app-f5669ff9f-mkh4f,1m,503
lascumbres,lascumbres-bear-app-57c57d5d5f-4bwlr,3m,1953
lascumbres,lascumbres-bear-app-57c57d5d5f-hm6mv,1m,1905
lc4kc,delayed-lc4kc-bear-app-0-65d99b4cb9-thrls,1m,361
lc4kc,lc4kc-bear-app-64b9fbdd5b-5fp7b,1m,971
lc4kc,lc4kc-bear-app-64b9fbdd5b-d9bbq,1m,881
lea,delayed-lea-bear-app-0-54797c4b55-tlpth,1m,383
lea,delayed-lea-bear-app-1-85c59f7c64-p482l,1m,340
lea,delayed-lea-bear-app-2-54f74d9f96-5v7z6,1m,344
lea,lea-bear-app-c6bc784f4-dwgnl,20m,2004
lea,lea-bear-app-c6bc784f4-fhqx6,2m,1822
lea,lea-bear-app-c6bc784f4-w2h6q,2m,1800
lea,lea-bear-app-c6bc784f4-wzpks,1m,1908
lieberman,delayed-lieberman-bear-app-0-587fcf5866-4q7xx,1m,281
lieberman,lieberman-bear-app-675dd58bd5-h774m,1m,1127
lifehouse,delayed-lifehouse-bear-app-0-9d47f6b9f-n7csm,1m,882
lifehouse,delayed-lifehouse-bear-app-1-547874d78b-2dtcs,3m,613
lifehouse,lifehouse-bear-app-5f66f98c87-4ptvx,55m,4247
lifehouse,lifehouse-bear-app-5f66f98c87-gzrdj,240m,4310
lifehouse,lifehouse-bear-app-5f66f98c87-lxtkh,162m,4816
lifehouse,lifehouse-bear-app-5f66f98c87-mgcwm,71m,4108
lifelink,delayed-lifelink-bear-app-0-79df454b8c-htbzd,1m,423
lifelink,delayed-lifelink-bear-app-1-599bfdb8dd-hwvtz,1m,2001
lifelink,lifelink-bear-app-bf84999b8-bdmz4,23m,1916
lifelink,lifelink-bear-app-bf84999b8-r7zsz,75m,1964
lifelink,lifelink-bear-app-bf84999b8-wfs6c,2m,1735
listen,delayed-listen-bear-app-0-7bcdb6f846-54z5l,1m,277
listen,listen-bear-app-7b6696d955-b4vs2,1m,1237
lotusbh,delayed-lotusbh-bear-app-0-68c47c7c94-77mq5,1m,328
lotusbh,lotusbh-bear-app-7c6ccb4bfb-9dvhd,1m,885
lotusbh,lotusbh-bear-app-7c6ccb4bfb-vbm9b,1m,1012
lunavista,delayed-lunavista-bear-app-0-b7d855f77-qbffz,1m,452
lunavista,lunavista-bear-app-85cf96f484-9hktx,11m,2071
lunavista,lunavista-bear-app-85cf96f484-pzmch,7m,2069
mcgadypsych,delayed-mcgadypsych-bear-app-0-5cbbc8b5d8-wvlpk,1m,349
mcgadypsych,delayed-mcgadypsych-bear-app-1-668b589d7d-59d7r,1m,261
mcgadypsych,mcgadypsych-bear-app-67b97849d4-dtm62,1m,1449
mcgadypsych,mcgadypsych-bear-app-67b97849d4-gxlq4,1m,1397
medallion,delayed-medallion-bear-app-0-8868b9f8c-92d2t,1m,1209
medallion,medallion-bear-app-5854d55587-mmqnd,1m,1919
mesafamily,delayed-mesafamily-bear-app-0-bbb94947f-dvr2q,1m,320
mesafamily,mesafamily-bear-app-77f5986c85-qvcl7,1m,1926
mountain,delayed-mountain-bear-app-0-c6489ddf4-vk95j,1m,393
mountain,delayed-mountain-bear-app-1-7548dc879b-hbvbv,712m,388
mountain,mountain-bear-app-554d547d48-hxh7g,4m,1574
mountain,mountain-bear-app-554d547d48-rtnhj,1m,1359
mvw,delayed-mvw-bear-app-0-c459f7d9d-xsghv,5m,371
mvw,delayed-mvw-bear-app-1-7987965bdf-fn9m8,1m,388
mvw,delayed-mvw-bear-app-2-59fc4975ff-jt6qj,1m,571
mvw,mvw-bear-app-cbb7d9cc7-9v8tj,36m,2000
mvw,mvw-bear-app-cbb7d9cc7-twbrd,11m,2181
naffawellness,delayed-naffawellness-bear-app-0-584d6888cf-q7zjp,1m,285
naffawellness,naffawellness-bear-app-6f4495f78-78ljb,1m,1139
naffawellness,naffawellness-bear-app-6f4495f78-qd57z,1m,1174
newchoices,delayed-newchoices-bear-app-0-5bd5cdb6-thskm,1m,287
newchoices,delayed-newchoices-bear-app-1-855f86774d-crlvm,1m,254
newchoices,newchoices-bear-app-588dddb49f-pwk86,1m,1578
newchoices,newchoices-bear-app-588dddb49f-vbvvx,1m,1531
newchoices,newchoices-bear-app-588dddb49f-wjbmm,1m,1486
newday,delayed-newday-bear-app-9bc8ff6b6-kqgxg,1m,311
newday,newday-bear-app-8f775ffc5-hgnqp,1m,592
newday,newday-bear-app-8f775ffc5-md2d8,1m,627
newdirection,delayed-newdirection-bear-app-0-5d976c6dfd-bcft7,1m,278
newdirection,newdirection-bear-app-7df4d867c9-xk2sm,1m,1264
newgrowth,delayed-newgrowth-bear-app-0-7bf4c8b56d-2plrx,1m,352
newgrowth,newgrowth-bear-app-6966dfcfb5-qzsr8,1m,1215
newgrowth,newgrowth-bear-app-6966dfcfb5-zs7p4,1m,1265
nextstep,nextstep-bear-app-58f5cd4b99-92ltc,1m,616
nextstep,nextstep-bear-app-58f5cd4b99-cpkwq,1m,648
nizhoni,delayed-nizhoni-bear-app-0-5c7f6c546b-plzmb,1m,519
nizhoni,nizhoni-bear-app-696d4b6748-45l5m,2m,2227
nizhoni,nizhoni-bear-app-696d4b6748-tzcrr,3m,2438
nmdreamcenter,delayed-nmdreamcenter-bear-app-0-8687f46868-zpgvn,1m,345
nmdreamcenter,delayed-nmdreamcenter-bear-app-1-5776fb66c9-69bdf,1m,271
nmdreamcenter,nmdreamcenter-bear-app-6857f6849f-8vn2h,1m,1443
nmdreamcenter,nmdreamcenter-bear-app-6857f6849f-ngzzn,1m,1490
nmwellness,delayed-nmwellness-bear-app-0-864cbf6894-4gkvh,1m,833
nmwellness,nmwellness-bear-app-d66f9b849-tmtm2,56m,2190
nmwellness,nmwellness-bear-app-d66f9b849-zl7tj,19m,2386
nooksack,delayed-nooksack-bear-app-0-5864f656df-hlnmc,1m,326
nooksack,delayed-nooksack-bear-app-1-c9f785748-h4jlh,1m,262
nooksack,nooksack-bear-app-cf5fd97df-6srnw,1m,1483
nooksack,nooksack-bear-app-cf5fd97df-ggwrb,1m,1536
northend,delayed-northend-bear-app-578d9bbf99-8sd79,1m,345
northend,northend-bear-app-7489ff7898-6kjjm,1m,656
northend,northend-bear-app-7489ff7898-dq2lb,1m,598
northstar,delayed-northstar-bear-app-0-59b56bd748-8qvmc,1m,300
northstar,delayed-northstar-bear-app-1-5f47866985-rckbv,1m,262
northstar,northstar-bear-app-555fb84df7-f7zf7,1m,1014
northstar,northstar-bear-app-555fb84df7-stlgg,1m,903
nvw,delayed-nvw-bear-app-7547d4c668-xwcst,5m,547
nvw,nvw-bear-app-7db87b957-9tnml,143m,2053
nvw,nvw-bear-app-7db87b957-p8tr2,141m,2026
nvw,nvw-bear-app-7db87b957-rts48,104m,2016
oasis,delayed-oasis-bear-app-0-644ffb897d-qjcw8,45m,476
oasis,oasis-bear-app-658dc494db-fk5xb,84m,2778
oasis,oasis-bear-app-658dc494db-kgl9s,3m,2820
ontime,delayed-ontime-bear-app-0-6797b6c68b-6j259,1m,351
ontime,delayed-ontime-bear-app-1-59b8c8479-jzvft,1m,275
ontime,delayed-ontime-bear-app-2-5c5f64fdc5-9gdpp,1m,275
ontime,ontime-bear-app-77b94584d7-6nvtw,10m,1589
ontime,ontime-bear-app-77b94584d7-b4np8,16m,1389
openskies,delayed-openskies-bear-app-0-688cccdcbb-jrmvn,1m,201
openskies,delayed-openskies-bear-app-1-c6d78f468-hxxb9,1m,200
openskies,openskies-bear-app-547df9cd-nggj9,1000m,631
openskies,openskies-bear-app-547df9cd-rb9bj,51m,1187
openskies,openskies-bear-app-547df9cd-zthtn,2m,1119
openskies,openskies-bear-app-7cd9db6749-pqlmm,119m,1387
pathways,delayed-pathways-bear-app-79f95f99d4-q2djj,1m,736
pathways,pathways-bear-app-56d499c669-8ws8l,5m,1570
pathways,pathways-bear-app-56d499c669-dthwm,7m,1277
pathwaysb,delayed-pathwaysb-bear-app-0-755d67dcd9-sxt9w,1m,363
pathwaysb,delayed-pathwaysb-bear-app-1-cc5d8ccb5-56lpr,1m,320
pathwaysb,pathwaysb-bear-app-5b76c7cbc7-bddl9,8m,2271
pathwaysb,pathwaysb-bear-app-5b76c7cbc7-gj8hj,4m,2341
pathwaysb,pathwaysb-bear-app-5b76c7cbc7-hd8tr,1m,2466
pathwaysb,pathwaysb-bear-app-5b76c7cbc7-nmzd9,5m,2281
pbjfamily,delayed-pbjfamily-bear-app-0-85b857c7f5-87n7v,1m,357
pbjfamily,pbjfamily-bear-app-77685fdb65-9ldtz,5m,2209
pcanm,delayed-pcanm-bear-app-0-6cb8df69df-spbcx,1m,425
pcanm,pcanm-bear-app-59c85d4fd7-9tvn2,1m,1827
pcanm,pcanm-bear-app-59c85d4fd7-t2rzf,1m,1605
pepofaz,delayed-pepofaz-bear-app-0-574cc8c5b7-4mxj2,1m,619
pepofaz,delayed-pepofaz-bear-app-1-57fb885bd7-n7rpn,1m,403
pepofaz,pepofaz-bear-app-6858cddcd9-9z594,36m,2192
pepofaz,pepofaz-bear-app-6858cddcd9-cdk7q,37m,1993
pepofaz,pepofaz-bear-app-6858cddcd9-htr29,14m,2475
pepofaz,pepofaz-bear-app-6858cddcd9-whdgb,8m,2320
pinwheel,delayed-pinwheel-bear-app-0-79d9757bf-69hwh,1m,408
pinwheel,delayed-pinwheel-bear-app-1-d5ccb7cd6-n7xtl,1m,498
pinwheel,pinwheel-bear-app-74cdd8b6f7-6hn6q,28m,1904
pinwheel,pinwheel-bear-app-74cdd8b6f7-sp4zr,3m,2012
plsnaz,delayed-plsnaz-bear-app-0-78c9547b59-kw7mp,1m,284
plsnaz,plsnaz-bear-app-559c7d54cd-jrlxp,1m,1152
plsnaz,plsnaz-bear-app-559c7d54cd-v8wg2,1m,1203
pojoaque,delayed-pojoaque-bear-app-0-8dfcfd79c-2mdbn,1m,273
pojoaque,delayed-pojoaque-bear-app-1-559744b9f-7pb6x,1m,260
pojoaque,pojoaque-bear-app-666bf6b8c6-7crxk,1m,908
pojoaque,pojoaque-bear-app-666bf6b8c6-g5pd4,1m,1060
pojoaque,pojoaque-bear-app-666bf6b8c6-jtl8q,1m,927
pojoaquecfs,delayed-pojoaquecfs-bear-app-0-679875c855-j2qbr,1m,279
pojoaquecfs,pojoaquecfs-bear-app-889c7ddc4-25zdx,1m,891
pojoaquecfs,pojoaquecfs-bear-app-889c7ddc4-2zsv9,1m,867
potters,delayed-potters-bear-app-74699bc44f-ntvsg,1m,300
potters,potters-bear-app-dbfb8fbcc-2gjng,1m,692
potters,potters-bear-app-dbfb8fbcc-z5q2h,1m,697
powerrecovery,delayed-powerrecovery-bear-app-0-84b5969565-pl9n4,1m,287
powerrecovery,powerrecovery-bear-app-fd9b46bf8-ch4c4,1m,935
powerrecovery,powerrecovery-bear-app-fd9b46bf8-dmlfd,1m,888
prairieridge,delayed-prairieridge-bear-app-0-7cfdbcd6d8-ptg7s,3m,534
prairieridge,delayed-prairieridge-bear-app-1-5c7b968897-fsxt5,1m,1397
prairieridge,prairieridge-bear-app-bb6969cfb-5cj27,36m,5362
prairieridge,prairieridge-bear-app-bb6969cfb-6qrsp,39m,6000
prairieridge,prairieridge-bear-app-bb6969cfb-dlmhj,61m,5290
prairieridge,prairieridge-bear-app-bb6969cfb-flvws,8m,5460
prairieridge,prairieridge-bear-app-bb6969cfb-jbxfz,119m,5342
prairieridge,prairieridge-bear-app-bb6969cfb-lkwtp,14m,5608
prairieridge,prairieridge-bear-app-bb6969cfb-r8hqz,52m,5346
racstop,delayed-racstop-bear-app-0-648f89bc5f-ps544,1m,332
racstop,delayed-racstop-bear-app-1-c6c6b9f4f-4z6dx,1m,264
racstop,racstop-bear-app-64d9fdc5bd-btzjv,2m,1434
racstop,racstop-bear-app-64d9fdc5bd-qx7zd,2m,1301
racstop,racstop-bear-app-64d9fdc5bd-tr7rs,1m,1436
richlin,delayed-richlin-bear-app-0-57dc59477-dvrzb,1m,332
richlin,richlin-bear-app-5fcbd9d9b5-p92tx,1m,1490
